LUK.1.1	Он-ка укал хоял хачал бичэвур тэлэӈур дукудилритан, 
LUK.4.18	«Хунӈит Хиранни Миндулэ бисни, Ноӈан Мину хинмарин. Мину дӫгрилтэки Өрэлдэм Мэтум болганавканин, танӈалчал дэлмилкэн одывутан, баликачил-да коерил одывутан болганавканин, хилгичиврилбу дэлмивкэндэку мину хөрукэнин, 
LUK.4.19	Хэвки илралнидякан анӈан одыван болганадаку гөнин». 
LUK.4.20	Нян книгав нипкуриди, бэлэмӈэду тарав бөриди, тэгрин; эйду нэӈэдеклэ чэлэн бичэл Ноӈантакин коечидилритэн, 
LUK.4.21	Нян Ноӈан ноӈартакитан төрэдилрин:
LUK.4.21	– Хун долдачасан дукутты мэтун эрэв инэӈу один.
LUK.4.22	Эйдучэндюр тарав тэдевкэм очаван орэритэн, мяӈчиритан-да нодач төрэнь төрэривэн, улгэмиритэн-дэ:
LUK.4.22	– Эсни-нян Ноӈан Иосиф хутэн бис?
LUK.4.23	Ноӈан ноӈартакитан гөнин:
LUK.4.23	– Ху, айдит, минтэки эрэв төрэм гөндис: «Бэгдэчимӈэ! Мэни бэгдэтли! Долдачагчумун Капернаумна некчэвус, элэ-нян, мэн төрэӈнэй, некли».
LUK.4.24	Нян гөнин:
LUK.4.24	– Айдиту хунтэки гөнэм, өмэн-дэ мэтумӈэ мэн төрэӈнэй эсни алимачиммотта. 
LUK.4.25	Айдиту хунтэки гөнэм, Илия инэӈэӈнэн Израилла хоя навур биситэн, илан анӈан нюӈэн-дэ аткикан эсэкэн мудна, эйдулин төрли таракам эгден демкэн один. 
LUK.4.26	Өмэнтэки-дэ навунтаки Илия эч хөрукэмрэ, өмэнтэки-ткэн навунтаки Сарептала Сидонскийла биситки хөрукэмрин. 
LUK.4.27	Тачин-да хоял игатапчил
LUK.4.28	Тарав долдаридюр, эйдучэндюр нэӈэдеклэ дюла бичэл тыкулритан. 
LUK.4.29	Хэкэркинидюр, ноӈартан Иисусу урэкчэнду бисидук городдук Назареттук эрэсситэн, тарак урэкчэн унэт хэеткин Иисусу илбэритэн, тадук кадардук Ноӈман улэдэвур. 
LUK.4.30	Нян Ноӈан, ноӈартан элгэлитэн гиркариди, хөррин.
LUK.4.31	Иисус Капернаумна, Галилеяла бисилэ городла, ӈэнрин, субботаннан хупкучидилрин. 
LUK.4.32	Нян Ноӈан хупкучинмэйён мяӈчиритан, төрэнни иткапчи бисэкэн. 
LUK.4.33	Нэӈэдеклэ дюла өмэн бэй ариӈкаду хилри бисин, нян тарак ариӈка бэй эмдэлэн бичэ дылгурач иркалрин:
LUK.4.34	– Хөрли час, мунтэки янарис, Иисус Назареянкан? Хи муну көкэвкэндэй эмрис; Хину ӈи-дэ бисивус би харам, Хи Хэвки хиргэпчэн бисэнри.
LUK.4.35	Иисус ноӈман нуруттин, гөникэн:
LUK.4.35	– Хикутывчили, нян ноӈандукун нёли!
LUK.4.35	Ариӈка, нэӈэдек дю дулукандулан бэю тыкукэниди, эмдэн додукун нёрин, эникэн онда-тит ноӈман хойра. 
LUK.4.36	Чэлэдюр бичэл хэӈулритэн, мэр доливур укчэнэдилритэн:
LUK.4.36	– Як нян эрэк Ноӈан иткан эррөчинни, эӈин-дэ, арисагал хирантакитан гөнэкэн тарал-нян нёвэттэ?
LUK.4.37	Нян эрэли бисили төрли Ноӈман тэлэӈ илрин.
LUK.4.38	Нэӈэдектук дюдук нёриди, Иисус Симон дюлан ирин. Симон аткин энтэкэеч хөксич хилгэнь бутэнрин, нян Иисусу тарав бутэнрив айдан гасчиритан. 
LUK.4.39	Ноӈантакин дагамриди, Иисус бутэм нуруттин, нян тарак асидук нёрин. Аси-нян таридит илрин, ноӈарбутан тойнэчидилрин. 
LUK.4.40	Нӫлтэн тыкэддэкэн, чэлэн бэил, ӈи-ккэ дялтан бутэнрил биситэн, таралбу Иисустэки эмуритэн, нян Ноӈан эйдучэндулэн бутэнрилдулэ ӈали каптаттин, тачин ноӈарбутан эйдучэмэн бэгдэттин. 
LUK.4.41	Хан-да эмдэтэн додукутан арисагал нёвэнритэн, ирканикан:
LUK.4.41	– Хи Христос, Хэвки Хутэн бисэнри!
LUK.4.41	Ноӈан-нян таралбу нуруттин, харивур Ноӈан Христос бисивэн эдэтэн тэлэӈрэ.
LUK.4.42	Гя инэӈ одакан, Ноӈан дюдук нёриди, энтэрэнтэки төртэки хөррин, бэил Ноӈман гэлэттитэн, нян Ноӈандулан ӈэнридюр, гасчидилритан, Иисус ноӈардукутан эдэн хөррэ. 
LUK.4.43	Тарбач Ноӈан ноӈартакитан гөнин:
LUK.4.43	– Хөнтэлбу-дэ городалбу Би Хэвки Тэгэмэрэдеккон Өрэлдэм Мэтум болгананнаву. Эрэв некэннэгэй эмчэ бисэм.
LUK.4.44	Нян Галилея нэӈэдекэлдулэн дюлдула Иисус хупкучидилрин.
LUK.5.1	Өмнэкэн Иисус Генисаретский төӈэр хөлидун илаттин, бэил, ноӈман эрэлридюр, Хэвкидыв төрэм долчиддитан. 
LUK.5.2	Ноӈан дӫрбу ӈяла илаттылбу момилбу иттин. Олрачимӈал, момилдукур илридюр, анчиндулатан адалалбур тэссэддытэн. 
LUK.5.3	Ноӈан өмэндулэ момила ойчирин, тарак Симон момин бисин, Иисус ноӈман гасчирин, мө дулакантакин момирасандан. Тар моми дөдун биникэн, бэилбу хупкучидилрин. 
LUK.5.4	Төрэрий оддыди, Иисус Симонтаки гөнин:
LUK.5.4	– Момидасли улгэнтэки, адали-да усиӈдэли.
LUK.5.5	Симон барагрин:
LUK.5.5	– Хупкучимӈэ, бу долбону чөптэрэ бэйчиривун, яв-да эчилбун бакра, тек-эси хин гөнигчинси нексодим.
LUK.5.6	Ноӈартан адалалбур мөлэ усиӈдэритэн, хояв олрав бакритан, эсомикэн адалалтан тэкэрэстилритэн. 
LUK.5.7	Ноӈартан гяла момила бисилбэ дялбур эридилритэн. Тарал момирритан, бэлэдилритэн, дӫривэн момилбу милтэрэмкэнитэн, момилтан ургэчилритэн, мөлэ тыкэдилритэн. 
LUK.5.8	Тарав иттыди, Симон-Петр Иисус дюлдэлэн хэнӈэнди тыкрин, гөникэн:
LUK.5.8	– Мин Хунӈив, мину эмэли, эди неккил, би төнӈэкичилкэн бисэм!
LUK.5.9+LUK.5.10	Петр, ноӈан дялни Зеведей нярудилни Иаков, Иоанн-да, хөнтэлдэ олрачимӈал, тардыван олрав иттыдюр, хэӈулритэн. Таракам Иисус Симонтаки гөнин:
LUK.5.9+LUK.5.10	– Эди ӈэлкил! Тек-эл хи эрэгэр бэилбу чаккараградинри.
LUK.5.11	Ноӈартан момилбур ӈяла ирритан, эйдуӈур тала эмэнитэн, Иисусту бодаснитан.
LUK.5.12	Иисус өмэндулэ городла биддэкэн, ноӈантакин өмэн бэй игатач бутэнри эмрин; Иисусу иттыди, Ноӈман дэпки хэнӈэнди тикрин, Ноӈман гасчидилрин, гөникэн:
LUK.5.12	– Хунӈиву! Некэмэлми, Хи мину тэсэмчис!
LUK.5.13	Иисус ӈали алимрин, бутэнрив тэмиснин, нян гөнин:
LUK.5.13	– Тэсэбдэс некрэм.
LUK.5.13	Таракамат тарак игатан аталаптин. 
LUK.5.14	Иисус ноӈантакин гөнин, эдэн тарав ӈитки-дэ тэлэӈрэ, поптэки мэни ичукэндэн, нян коримэм тэсэвчэлий эмудэн, Моисей итучагчинни, ай очаван эйдудун ичукэн бидин. 
LUK.5.15	Нян тарбач унэт ходмарач Ноӈман тэлэӈэдилритэн, хоя-да бэил ноӈантакин ӈэнритэн. Ноӈман долчидавур, энэкэлбур-дэ бэгдэтэвур. 
LUK.5.16	Тарбач Ноӈан энтэрэн биситки төртэки хөроттэн, таду нэӈэддёттэн.
LUK.5.17	Өмэндулэ инэӈнэ Ноӈан хупкучиддэкэн, фарисеил, Итум-дэ хупкучимӈэл, Галилея, Иудея, Иерусалим-да төрэӈэтэн чэлэдукутэн эмчэл тала тэгэттэкэтэн, нян Хунӈит эӈин-дэ бутэнрилбу айдан ичуттэкэн, 
LUK.5.18	тар бутэнрив осэлчэв бэю инситэн, ноӈман дюла ивувсчидилритэн, Иисус дюлдэлэн нэдэвур. 
LUK.5.19	Хоя бэй бисэкэн, туркуритэн ивӈэ, дю ойлэн ойчиритан, ойгич бутэнрив бэю тэдэлкэм дю дулакандулан, ойдэвэн хаюридюр, Иисус дюлдэлэн эвукэнитэн. 
LUK.5.20	Нян Ноӈан, тарал тэдемутэн итми, тартаки бэйтэки гөнин:
LUK.5.20	– Хин төнӈэкичу овканчас аталаптан.
LUK.5.21	Итум хупкучимӈэл, фарисеил-дэ мэр доливур укчэнэдилритэн, гөникэн: «Ӈи эрэк, Хэвкив хэӈитты? Ӈи Хэвкидук аӈили унэт төнӈэкичу аталаннан?» 
LUK.5.22	Иисус, ноӈартан тарав мулгачимутан унуриди, ноӈартакитан барагрин, гөникэн:
LUK.5.22	– Яв ху мэргэндэлэвур мулгачис? 
LUK.5.23	Яв аидьмар гөми: «хин төнӈэкичис аталаптан», эв гөми-ку: «илли, гиркасли»? 
LUK.5.24	Тарбач хун хадасан, Бэй Хутэн Оча эйдулин төрлэ төнӈэкичу аталгарадай иткалкан бисивэн, – Ноӈан осэлчилчэду гөнин: – Хинтэки гөнэм, илли, тэдэми гали, нян дюткий хөрли.
LUK.5.25	Нян таракамат осэчилчэ ноӈартан дюлдэлэтэн илрин, тэдэми гадин, дюткий хөррин, Хэвкив эскэникэн. 
